items_id,rfid,model_id,dateAcquired,location_id,serialNum,comments,price,pbhrnumber,user_id,accountedFor,alias,delete_Boolean
4565,2F2203438544D320000000D5,5169,NULL,48,78X26B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4566,2F2203438544D320000000D6,5169,NULL,48,18X26B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4567,2F2203438544D320000000D7,5169,NULL,48,JQW26B1,IT305 Training Laptop,NULL,NULL,44,Missing,NULL,
4568,2F2203438544D320000000D8,5169,NULL,48,4MS3YB1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4569,2F2203438544D320000000D9,5169,NULL,48,BQW26B1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4570,2F2203438544D320000000DA,5169,NULL,48,2QW26B1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4571,2F2203438544D320000000DB,5169,NULL,48,62SB7D1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4572,2F2203438544D320000000DC,5169,NULL,48,22SB7D1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4573,2F2203438544D320000000DD,5169,NULL,48,GJPM5B1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4574,2F2203438544D320000000DE,5169,NULL,48,G8GQZB1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4575,2F2203438544D320000000DF,5169,NULL,48,GQW26B1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4576,2F2203438544D320000000E0,5169,NULL,48,FSW26B1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4577,2F2203438544D320000000E1,5169,NULL,48,1JW26B1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4578,2F2203438544D320000000E2,5169,NULL,48,1S24YB1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4579,2F2203438544D320000000E3,5169,NULL,48,3KW26B1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4580,2F2203438544D320000000E4,5169,NULL,48,6XSB7D1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4581,2F2203438544D320000000E5,5169,NULL,48,DQXSBC1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4582,2F2203438544D320000000E6,5169,NULL,48,H4XL5B1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4583,2F2203438544D320000000E7,5169,NULL,48,4RW26B1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4584,2F2203438544D320000000E8,5169,NULL,48,C4X26B1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4585,2F2203438544D320000000E9,5169,NULL,48,D8X26B1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4586,2F2203438544D320000000EA,5169,NULL,48,HWJ36B1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4587,2F2203438544D320000000EB,5169,NULL,48,4JW26B1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4588,2F2203438544D320000000EC,5169,NULL,48,F134YB1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4589,2F2203438544D320000000ED,5169,NULL,48,GRW26B1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4590,2F2203438544D320000000EE,5169,NULL,48,DFPV9B1,IT305 Training Laptop,NULL,NULL,44,Found,NULL,
4723,2F2203438544D320000000EF,5179,NULL,54,MY44003752,NULL,10891.05,NULL,44,NULL,NULL,
4521,2F2203438544D32000000109,5166,NULL,48,4SVNVD1,Spare Desktops,955,NULL,44,Found,NULL,
4522,2F2203438544D3200000010A,5166,NULL,48,JQ1WVK1,Spare Desktops,955,NULL,44,Found,NULL,
4523,2F2203438544D3200000010B,5166,NULL,48,742WVK1,Spare Desktops,955,NULL,44,Found,NULL,
4524,2F2203438544D3200000010C,5166,NULL,48,J43WVK1,Spare Desktops,955,NULL,152,Found,NULL,
